title,content,sentiment
Incredible Customer Service Experience,"I worked with Olivia and I had to share how great working with her has been -- the attention to detail, timeliness, how communicative you've been, and the quality of the product have all been top notch and this has been one of the best customer service experiences I've had in a long time. We will definitely be ordering more products in the future.",
Great customer support without being…,Great customer support without being pressured and fast delivery,
Great VIP Service!,I received immediate attention to my request and was consistently updated on my request and resulting order up to time I received my order,
Ultra-fast,"Ultra-fast, quick responses, nice quality",
excellent service,"Friendly, professional, informative and received in a matter of days and the quality was great.",
A company that understands customer service!,The best customer service! Quick turn around time and a quality product!,
Just an all-around great experience,"Just an all-around great experience. I requested samples and was sent a box of options. Nick helped me with pricing and getting everything set up, and our new flash drives arrived within days. Our clients are going to love them. Check out their selection of drives that work with both traditional USB and USB-C ports.",
Easy to get what you need when you need it.,It was easy to find what I needed and then translate what I was looking for on the design side. I'm looking forward to working with team at Flashbay for my future needs.,
The Model for Customer Service,"Hieu was fully engaged with providing excellent customer service from start to finish. He frequently communicated with our agency and provided experienced suggestions and content. We fully recommend working with Flashbay and customer reps like Hieu, thank you!",
Great customer service,"Shelby was an excellent salesperson, helped find the right product and made ordering easy.",
LESS THAN A WEEK!,I had an account manager over the phone help with this order and they had it at my office 6 days after I purchased!,
Jill was phenomenal!,"Jill was phenomenal! Great service, quick response and overall made the experience super smooth!",
Randall provided great customer service…,Randall provided great customer service and information on the items we needed quickly and was extremely professional. This is our second purchase with FlashBay.com and continue to be pleased. The items we received were just as described and we look forward to ordering from them again in the future.,
Amazing Customer Service Experience and Quality Product,"I wanted to express my sincere appreciation for the fantastic experience I had with Hieu, our representative. The ordering process was incredibly easy and efficient. His attention to detail and follow-up by email and phone provided one of the best customer support experiences I have ever had.
I especially appreciated his proactive approach in providing us with proofs that showcased different logo color printing options to perfectly match our branding. The production was remarkably fast, and the delivery was seamless. After the order was approved and placed, we received the split shipments in just eight business days!
We are extremely happy with our order of the Aqualok Infuse bottles and are excited about ordering more products from Flashbay soon. Thanks again! You are the best!",
Great experience from start to finish!,"Great product selection, easy to order in the quantity I wanted, customer service and response was outstanding, and I received my drives very quickly. I love the quality and look of them and will definitely reorder when I run out of these.",
The team was easy to work with and…,The team was easy to work with and ensure the product was delivered in my tight timeline. My team loved the water bottles. The design was exactly as expected.,
First order success,"Delivered promptly, and as promised.",
Donovan Rains was beneficial and…,Donovan Rains was beneficial and resourceful when it came to selecting products. The promotional boxes he offers are thoughtfully designed and make exceptional gifts for our clients and beyond.,
"great product, helpful sales, quick service","Everything went great, Donovan was very helpful in getting the product ready, turn around time was fast, and the water bottles are great. Nice and heavy, and the printing looks fantastic.",
Donovan made this process very easy,Donovan made this process very easy - he sent me a sample right away and was extremely quick in his responses - sending design options and proofs.,
Great team! Great Product,The team was easy to work with and ensure the product was delivered in my tight timeline. My team loved the water bottles. The design was exactly as expected.,
Great Customer Service.,"Great Customer Service.

CS always had a quick, accurate responses to our questions. Product was delivered as promised and looked fantastic.",
Very quick and easy,"Date of experience: March 20, 2025",
Excellent service,"Excellent service, fast, great quality product!",
Great customer service,Great customer service. Communicated well and were patient with all my asks!,
Flawless Service & Beautifully Crafted Promo Items! ✨,"From start to finish, our experience with Flashbay was nothing short of amazing! ✨ We ordered the Solar Card power bank and the Essence bamboo pen, and every detail—from the quality of the products to the packaging—was impeccable. The individual packaging of each item was top-notch, and the care put into shipping everything safely was impressive.

Customization? Flawless. Our branding came out beautifully, and the craftsmanship exceeded expectations.

A huge shoutout to Nick—his patience, knowledge, and timely responses made the entire ordering process smooth and enjoyable. From my very first inquiry (which led to an unexpected and delightful promotional box of samples!) to the final delivery, everything was handled with care and professionalism.

If you're looking for high-quality, beautifully branded promotional products with exceptional service, Flashbay is the way to go! 🌿✨",
Great product and experience overall!,"Great support pre-sale, fast samples & order, great product and experience overall! (Purchased Shaker Bottles)",
Jill was very quick responding to…,"Jill was very quick responding to changes, and her communication was amazing.",
Excellent communication and amazing…,Excellent communication and amazing customer service. Cole was great to work with and look forward to continued orders.,
awesome,awesome! everyting was done ontime as promised without a hitch.,
The ordering process was overly…,The ordering process was overly complicated. A web form would have been substantially less cumbersome.,
Fantastic to work with- great…,"Fantastic to work with- great communication from Shelby and very fast response time. From start to finish the process was easy, Shelby was always available and the cups made it to us so quickly.",
Prompt and easy to work with,Our purchase is exactly what we expected. Marcus provided clear instructions and accurate shipping/delivery timelines. We are happy with our product and experience!,
All-around great!,"Ellie provided excellent customer service including sending samples, drafting estimates, and working with me to pick the products to be suit our needs.",
Easy,Made the process easy and straight forward.,
Flashbay makes life easy,"A pleasure to work with Randall at Flashbay. Super easy, great customer service and quick response. Highly recommend. The product arrived so fast and looks great.",
Brian was great!,Brian was super helpful! I appreciate his willingness to work back and forth with our agency. The flash drives came out great!,
Outstanding service Beatrice Dizon…,"Outstanding service Beatrice Dizon assisted me through the entire process, very professional, knowledgeable and friendly.",
I highly recommend Flashbay!,"The service and quality of the product are outstanding. Marcus did a fantastic job of taking care of our needs, and we had our products in under two weeks.",
Friendly,"Friendly, knowledgeable customer service without being pushy. Fast delivery too!",
Product and Customer Service was Great,"Beatrice Dizon was great! Her customer service skills and attitude were top notch. She made the ordering process smooth and was so helpful with my delivery request. The personalized phone charger/stands she assisted me with are a great product, everyone loved them! The are sleek looking, portable and easy to put together. Thanks Flashbay!!!",
Fast turn around and great great…,Fast turn around and great great customer service!,
Excellent Customer Service,"Randall was extremely responsive and helpful, and we really appreciated the follow up after our order was delivered. We would be happy to work with Flashbay again.",
Excellent service and fulfillment…,Excellent service and fulfillment updates at every step of the delivery process. Outstanding!,
Enjoyed working with Nick at FlashBay,Enjoyed working with Nick at FlashBay! Extremely quick and responsive. Made the process very easy and smooth. Will be using again in the future!,
Alex White - Superb account manager,"Alex White, account manager for FlashBay, was everything an account manager should be. He followed our initial inquiries with interest and suggestions, was readily in touch as we went through the design process and changes, made excellent design suggestions which we took up, and followed our order right up to delivery to be sure everything was in order. Did I mention he was always friendly and happy to hear from us. We ordered 100 logo'd water bottles with presentation sleeves for our Golf Club. They look great!",
Great shopping experience,"The products are of excellent quality, and the purchasing experience was great. Max was incredibly friendly and helpful, responding quickly and ensuring smooth communication throughout the entire process. His follow-ups made the experience even better. Highly recommend!",
Personal service after I couldn't find…,Personal service after I couldn't find my previous orders (3 and 5 years before!!) Eric found it quickly and filled the order. it arrived in Georgia from Hong Kong in 3 days.,
Shelby was very helpful and nice,Shelby was very helpful and nice. I loved working with her. We got our product fast and we loved the final product.,
Account Manager made it happen!,I needed to reorder a previous product with branding on it. I realized too late that I was not going to be able to get these in time for a show. I discussed my options with my Account Manager and she was able to help me get them in time even though FedEx messed up the delivery. Thanks Ellie for your hard work and coming through.,
Wow- Fast and great prices,"Wow, Max got back to me so quickly with mock-ups of different products. He made the changes I asked for and made it such an easy process from start to finish. I will definitely be ordering from them again!",
Great experience!,This is our second year working with Matt at Flashbay. He has worked with us on everything we need and is very knowledgeable and responsive!,
The Best of the Best,The Best of the Best! Very professional and knowledgable.Quality products and fast turn around time! I would highly recommend.,
Great working with Ellie and quick…,Great working with Ellie and quick service. LOVe the product as well.,
Amazing Experience with Flashbay!,"Our tote bag order came out great! We received the package earlier than expected, and are truly thrilled with the results. Max was easy to work with and ensured that the process was smooth from start to finish! We will definitely consider Flashbay for future orders!",
These guys set the bar high,"Absolute excellence. Very excited and energetic. Super courteous and professional. Fast turnaround with high quality. I will be a return customer.

-Truck Guy Upfitters, Chris Parler",
Great Job Flashbay,"Donovan was great to work with! He rushed out a sample to test and when it was damaged, he rushed a new one out which we received the next day. Overall the experience was great! Parts were delivered in the suggested time frame and the quality looks great as well. We will certainly be back",
"Easy, quick, fun, & good quality!","Ellie was easy to work with, quick, clear, and gave us a pleasant and fun ordering experience. Your service is great and quick, and the products look great.",
The final product was perfect!,"Conor Kennedy was awesome to work with! He made sure that every detail on our Wafer Cards were exactly how we envisioned them to be, despite our company having a very specific design in mind. The final product was perfect! His communication with his design team was speedy and effective, while his communication with us was detailed and personal; never making me feel rushed throughout the process. I would highly recommend him to anyone that's looking for branded USB flash drives. Thanks Conor, I know we'll be back to buy more!",
Ellie Hoecker was fabulous,"Ellie Hoecker was fabulous. She understood our budget and made multiple suggestions of what might work, and did a mock up of the final product, which we selected. She was always available and very professional. The item arrived within the timeframe we agreed to. I was pleased that we received it so fast.",
Our rep Donovan made it quick and easy,"Our rep Donovan made it quick and easy. The order was shipped quickly, and we are good to go. The product and service were excellent.",
Great communication,Great communication. Fast responses. Ontime delivery.,
Randall is great,Randall is great. Super helpful and makes the ordering process simple and easy.,
Great Experience,"Great response time, answered a lot of questions, and gave us adjusted mockups in a prompt manner.",
Great with a tight timeline!,Super quick turnaround and very quick responses to all my questions. Very professional team!,
Shelby was the one who made it a 5 star…,Shelby was the one who made it a 5 star review. let me through very easily,
Highly Recommend and Very Pleased,"Very friendly staff, and exceptional service. Samples and proofs were very quickly provided and once ordered items arrived in a few days, exactly as specified. High recommed!",
Great customer service and products,"Great customer service, high product quality, and quick delivery!",
They are an incredible team,"They are an incredible team, they work super fast and have excellent quality items.",
Everything was so easy...they even…,Everything was so easy...they even found our logo so we didn't have to upload it.,
Awesome Experience!,Donovan and the entire team were awesome from beginning to end of my order. They even sent an extensive sample package that delivered very quickly. I love that the data was loaded seamlessly onto the flash drives with no issues at all.,
Eric Hoecker,"I am pleased to write this review in recognition of Eric Hoecker’s outstanding customer service skills. Eric consistently demonstrated professionalism, attentiveness, and a strong commitment to ensuring customer satisfaction.

His ability to communicate effectively with me sets him apart. He listened carefully to our needs, resolved concerns efficiently, and always goes the extra mile to provide a positive experience. His patience and friendly demeanor make him an asset to any team.

Eric's dedication to excellence in customer service not only strengthens relationships with clients but also contributes to a welcoming new customers. We hope to do business with Eric again in the future.",
Exactly what I ordered and delivered…,Exactly what I ordered and delivered faster than expected.,
Sales rep was very helpful working with…,"Sales rep was very helpful working with me on the size and our company graphics.
Great service from start to finish",
Flashbay Rocks!,Nick is a great salesman and we are completely satisfied with every step of the process. We will be ordering from Flashbay again very soon.,
Excellent Quality & Service!,"We had a fantastic experience ordering custom USB drives from Flashbay. The entire process was smooth from start to finish, with great communication, quick turnaround, and outstanding product quality. Our order arrived even faster than expected, and we were extremely pleased with both the design and durability of the drives. Hieu and the team were incredibly helpful and made everything easy. We will definitely be placing more orders in the future! Highly recommend!",
Excellent Customer Service,"The response time to our inquiry was fantastic. Examples were sent right away and once we made a decision, an invoice was sent immediately. The product also arrived ahead of schedule. Sierra was wonderful to work with and very knowledgeable.",
Best customer service!,"Compared to the other vendors we considered, Flashbay was always the fastest to respond and take initiative with us. We had the same customer representative throughout the entire process and she even reached out after they were delivered to make sure we were satisfied. I couldn't be more happy with our purchase!",
Jackson was patient with me and willing…,Jackson was patient with me and willing to go back and forth and then some to assure I was getting exactly what I wanted. His service has been PHENOMENAL!,
Final Product,Final product looked great.,
The design process was easy and we were…,The design process was easy and we were sent a sample of the product overnight. The quality of the product was excellent and and the entire process from start to finish was easy and expedient. We will absolutely return our business to Flashbay should the need arise.,
Incredibly Helpful,"Max Tumpson provided an outstanding customer experience. He was incredibly helpful, quick to assist, and highly responsive, making the entire process seamless. His professionalism and efficiency made working with Flashbay a great experience—I highly recommend him!",
Service and follow-up was awesome,"Service and follow-up was awesome. Easy to work with and discuss questions on the phone. Brian Truong, my rep was very good and understanding of my questions and requests for quote.",
Quick turn around,Order was turned around quickly. Flash drive was very nice and as pictured.,
Fast and accurate production of the…,Fast and accurate production of the product.,
Beatrice was wonderful!!!,Beatrice was wonderful the entire time. I asked for the product by a specifying and it was delivered WAY ahead of schedule. She really went the extra mile.,
Very helpful,Very helpful. Needed to re-do art work and they were great about helping me make it right. Delivered timely. They are great!,
Nick M was GREAT,Nick made this super easy and communicated very well. Order processed smoothly and delivery was quick!,
Everybody was very professional,"Everybody was very professional, and it was a great experience working with your team",
Shelby was great to work with,"Shelby was great to work with. She gave good suggestions and was extremely patient with my questions. Her follow up was fantastic, making sure we were pleased and provided samples as needed.",
Beatrice was great to work with,Beatrice was great to work with. she was able to pull up my past order from my phone # and called me by name when I called. Very nice and helpful. Order arrived quickly. Thanks!,
USB Business cards,"Justin, was super to work with. He was on top of everything and very patient in explaining the process and guiding me through any technical pieces. Very happy!",
Very pleased,Max was very communicative and made sure our products were exactly how we wanted them to be.,
Easy to work with,"Easy to work with. Prompt, on time service and delivery.",
Ellie was so helpful,Ellie was so helpful! Very smooth transaction that came out wonderful. Thank you,
Great service,"Customer service was wonderful, and the product did not disappoint.",
Second order from Flashbay,Second order from Flashbay. Very happy with the product and service I received. I will definitely be ordering again!,
Great Service and Quality,I was truly impressed with Flashbay’s quick response to my inquiry! They sent free samples within a day and processed my order swiftly. I'm excited to continue partnering with Flashbay in the future!,
Excellent Customer Service from Marcus Quincy,Marcus was very helpful in explaining my options and sending over mockups of what my product would look like. I am very happy with the final product and shipping time. I was provided exceptional customer service every step of the way and will definitely use them again.,
Very responsive on items,"Very responsive on items, items were delivered quicker than expected. They double-checked our address for shipping to make sure it was correct. Good follow-up to see if we received items and that we were satisfied.",
Thank you Hieu!,"Thank you Hieu!
The mugs look fantastic and I appreciate you working with me for our non-profit status and keeping this awesome SWAG item under our budget!",
The customer service was ideal,"The customer service was ideal. The end product (branded flash drives) was high quality, and delivery was fast.",
Had a great experience with Flashbay,"Had a great experience with Flashbay! My beanies turned out perfect—great quality, exactly what I wanted. The staff was super helpful, especially Beatrice Dizon, who made the process smooth and easy. Will definitely be ordering more!",
Max was quick,"Max was quick, attentive and highly resourceful - his dedication made him the clear choice for our business",
Ordered USB drives for a marketing…,Ordered USB drives for a marketing campaign and flashbay delivered perfectly. The product quality was great and the customer service was helpful. Totally worth it!!,
Randall McCune Jr,Randall McCune Jr. is the best and offers tremendous customer service!,
They are attentative,"They are attentative, communicative and prompt. Product always arrives quick and exactly what I order.",
Great Experience Working with Flashbay!,"Working with Max Tumpson was great! He has great communication and follow up, and we loved the product! We will be ordering again!",
Flashbay was so easy to work with,"Flashbay was so easy to work with! They sent us the BEST marketing display of all the flash drives they offer so we could see them, feel them, etc. Such a great addition! Ordering was simple. Alex White was a great salesperson and followed up and followed through during the whole process. We received the items SUPER fast! Thank you!",
good quality product,"good quality product, good customer service",
Outstanding Service and Quality,"The response time was excellent, and the quality of the flash drives exceeded expectations. Additionally, their offer to send samples was a huge help.",
Great Experience with Ellie From FlashBay,Ellie was very responsive and our product came in very quick.,
Ellie has been EXCELENT to work with,"Ellie has been EXCELENT to work with. She's not only courteous, but knows the products and responds quickly to requests. Nice job Ellie!",
Decent service and products…,Helpful service from Lucy and products look just like the proofs.,
Eric has been incredibly helpful and…,Eric has been incredibly helpful and quick to respond to our questions.,
Job well done!,"I purchased personalized USB flash drives for my church. My sales representative, Sierra was quite helpful in making sure the design was satisfactory. She remained in contact with me throughout the process. I am beyond pleased without the product. Job well done!",
Branded flash drives,RJ’s prompt communications and product delivery,
Eric has been super helpful and prompt…,Eric has been super helpful and prompt in answering questions and quickly getting our order placed & delivered,
Olivia was great to work with,Olivia was great to work with. Very knowledgable and answered all of my questions quickly. She also worked within our budget to help us find the best items for us. The collateral we ordered looks great!,
Great service by Donovan!,"Date of experience: January 22, 2025",
Fast and responsive,Really appreciated how fast Cole was able to get my bids and order together. Products turned out great.,
amazing product,Hieu's amazing customer service was outstanding and provided information at a great speed. The turnaround time for the product was astonishing. The product was great and we had the option added for them to dl files onto our thumb drives which was so easy and popped up once we incereted it into our computer.,
6 stars if Possible,"I had an outstanding experience with Flashbay and my rep, Sierra. From start to finish, Sierra was incredibly patient, communicative, and attentive to every detail of my order. She went above and beyond to ensure that I was informed at every step and that my needs were fully met.

Very quick turnaround time. The product was delivered ahead of schedule The final product exceeded my expectations, and the whole process was smooth and hassle-free. Team was is very happy!!!

If you're looking for a company that delivers both exceptional products and stellar customer service, I highly recommend Flashbay and working with Sierra. I’ll definitely be a returning customer!",
Products was beautiful and service was…,Products was beautiful and service was amazing!! Very happy with it all!,
"Great Servce, Quick Turnaround",Our Account Manager was super helpful and got everything done so quickly as well as being able to price match. Everything came out great and arrived in just a few days.,
Max Tumpson was on it!,"Max Tumpson was speedy, thoughtful and resourceful - he earned our business for these reasons.",
Fast and reliable service.,Fast and reliable service.,
Great service and great USBs!,"The rep I worked with, Ellie, was super communicative and helped price match a quote I'd received from another company. Best of all, the printing on the USBs turned out immaculately! I'd highly recommend Flashbay.",
Matt is awesome!!,"Matt was very helpful with getting us information in a timely manner, answering questions, providing feedback, etc. And made this experience easy and quick!",
Justin Bamberg was very professional…,Justin Bamberg was very professional and made sure I received the design I was hoping for.,
Max was great!,Max did a great job answering my abundance of questions and remaining patient.,
Working with Beatrice was fantastic,Working with Beatrice was fantastic - she made the entire process effortless!,
Smooth order process,"Olivia assisted me with my company's purchase order, making the process quick, clear, and smooth. She was incredibly easy to work with",
Great Experience!!!!,The customer service was excellent. Conor went above and beyond to ensure we received what we needed promptly. He even called us on the day our items were delivered to confirm that everything arrived without any issues. I would definitely recommend Flashbay!,
Ellie was great for my whole experience.,"Date of experience: January 16, 2025",
Quality and Quick Service,"The power bank is made of high-quality materials, and the logo design is clean. The turnaround was quick, and their communication was excellent.",
Easy to work with,"Alex White was very easy to work with and even though we had a little hick-up, he quickly fixed it. The product looks great.",
Stellar Experience,Max made the process of ordering our custom flash drives seamless and the turnaround was so quick! I cannot thank you and your team enough for the stellar customer service and end-product.,
Great service!!,"Great service!!
Great quality product!!!!

My Sales Rep was VERY responsive
and patient !",
Matt made my purchase so easy!,Matt made my purchase so easy!! And Quick. Very impressed with professionalism and follow through.,
Customer Service is Top Tier,Beatrice was amazing to work with and made the entire process such a breeze.,
Great service; lots of follow up!,"As a busy solo attorney it was very helpful to have as much follow up (and over the holidays, no less) as Jill and her colleagues provided to make sure that my questions were answered, my proofs were adjusted as needed, and that this didn't sit on my back burner for too long. Jill is always happy to send samples so I can touch and feel the products before I spend my hard earned money on them. I have come back to Flashbay over and over and plan to continue to do so for my personalized product needs.",
Quick response and reasonable delivery…,Quick response and reasonable delivery times,
Rachel has always been so very helpful,"Rachel has always been so very helpful! She is very professional yet makes you feel like you are her only customer. She responds quickly to questions and requests. I would recommend Flashbay, and specifically Rachel to anyone. Also, the products we have ordered has always met our expectations. Thank you, Rachel and Flashbay!",
Flashbay was incredible from start to finish,Jill and all of the Flashbay staff were extremely helpful. They communicate quickly and effectively. They were so kind and a pleasure to work with from start to finish. The product arrived EXTREMELY fast and exactly like the prints. Excellent quality all around! I will definitely use them again.,
Quick and efficient,"Quick and efficient

The experience with Cole Keller was a breeze. I didn't know what I needed but had a general sense of what I liked and he pointed to the an exact product to use. Definitely will purchase again when the time comes.",
Quality product is an attribute,"Having a quality product is an attribute, but it's their customer service that sets Flashbay apart. Thank you Marcus for your follow-up and follow-through; we receive a quality product and impeccable service every time! Our project was successful and the engraved water bottles made us look great! Thank you!",
"Fantastic customer service, easy ordering",Lane's customer service is exceptional. He makes the process very easy.,
great customer service and product,"Max worked with me through various emails, and was able to provide options that worked with our budget. All the responses were very fast. I also needed to arrange a delayed delivery date, and Max was able to accommodate that as well. The boxes were at my front door as planned, and the items are just beautiful (very elegant and well made).",
Always a pleasure to work with,"Always a pleasure to work with, fast and reliable!",
Sharp service,Everything was handled quickly and professionally. I love the sample kit that lets me put each model in my hand.,
Was very pleased with the product…,Was very pleased with the product received. Cole was a great sales rep to deal with throughout the whole process,
Cole was very helpful throughout the,Cole was very helpful throughout the whole process. He made it such a seamless experience. I would order again.,
Fantastic Employees: Nick & Justin!,"Nick was fantastic to work with. We had a huge problem related to shipping early when our office was closed for the holidays and Justin was not only supportive he was able to resolve the issue and our product arrived this morning.
We will definitely order again with Flashbay because of this excellent experience.",
Great product and fast service,Product turned out perfectly and it was received a few days earlier than anticipated. I will be back!,
top notch experience,"This company was superb to work with! My order was small (25 units) but they still treated me like a long time respected customer! From the moment I sent an inquiry to the time I received my product, Matt was nothing but efficient & helpful & made the whole process extremely smooth. I will be purchasing from Flashbay again!",
PURCHASING MANAGER,"Rachel Gutierrez is a rockstar!
Always a pleasure to work with and responds promptly to all our orders. Follow through is 100%
THANK YOU!",
Excellent Experience,Justin messaged me within minutes of submitting my request for a quote online. I received sample products and placed the order that arrived promptly and before the estimated date. I would definitely use Flashbay and recommend Justin again.,
Marcus was very professional,Marcus was very professional and quickly made my order happen. Thank you for a great job.,
Marcus was nice to talk to,"Marcus was nice to talk to.
It took several tries to get the logo right and he was patient.
My mugs were made in China and I think (not sure) that the logo was done in India.
Turned out great and shipping time very reasonable.",
Excellent Customer Service & Product,"From the first contact to receiving the product, it was an excellent experience. Samples were delivered quickly, proofs delivered quickly and final flash drives received within a couple of days of ordering. I would order again. Our sales rep was amazing with the follow up before, during and after the sale.",
"Fast Service, Great Product","Order made and received in lightning speed! Also appreciate being able to order in December 2024 and pay in January 2025. This helps by getting product to our sales reps before the first of the year, but being able to apply to our next year budget! Thank you!",
Great experience,Marcus made the process - all the way from quick responsiveness to my original inquiry and providing a great price to a quick delivery of the items - very easy!,
Great Service - Recommend!,"Product delivered quickly and exactly as ordered. Our sales rep, Marcus, communicates well and was a pleasure to work with. We are repeat customers.",
Awesome customer service and great products!,"Jill was so helpful and friendly throughout the ordering process. She promptly sent me quotes and virtual proofs, as well as samples so we could assess the products in person! Jill made this process as easy and stress-free as possible for me, even through some adjustments on my end along the way.

All the products we received were of good quality, and we can't wait to use them. The turnaround time was impressive and we were grateful to be able to give out these gifts before the holidays.",
Fantastic service,"Fantastic service! I ordered merchandise items, and they were delivered quickly, meeting all my expectations. Angelo from the Account Team was incredibly attentive to details and stayed in constant communication throughout. Highly recommend!"" ⭐⭐⭐⭐⭐",
Great speed and accuracy of order,"Great speed and accuracy of order, responsiveness of salesperson.",
Great product,Very happy with the flash drives that were customized and delivered in just a short time. Our rep Rachel has been absolutely fantastic to work with.,
Great Experience!,Justin was amazing to work with! The ordering process was quick and very easy. The merchandise arrived quickly and we love our new water bottles. The pricing was great too. l will not hesitate to use Flashbay in the future.,
Alex was great,"Alex was great. Very attentive and knowledgeable. I like how she followed up and provided information without being pushy. Most other sales organizations are. Thank you for that.
Thank you again.
f.",
Super Fast and Great Service,Quick process of proof and quoting. Super fast product completion and shipping.,
Quick delivery,"Quick delivery, contact person was helpful and followed up on requests/delivery.",
Great Customer Service!,Olivia was great to work with. She worked with us to best determine which logo would look best. Her after sale/delivery follow up was fantastic as well!,
Prompt and accurate,"Conor did a good job communicating and getting back to me and making sure I was getting the emails. We had issues getting emails into our normal email addresses, so they were being blocked by Microsoft office Outlook. Something you might want to look into.",
Olivia was Wonderfull and so helpful,Olivia was Wonderfull and so helpful. She made our company Christmas party a BIG hit. Employees like her are rare and hard to find now a days. Thank You very much for all your help Olivia.,
Donovan was very helpful!,"Donovan was very helpful!

The cups came out great and they came almost a full week earlier than expected. 10/10",
They worked with me on price and design…,"They worked with me on price and design and were very helpful. Product looks, feels and works great. I will reorder.",
Sierra is fabulous,Sierra is fabulous. I was so impressed by her follow up and she utilized our logo and made digital proofs with the estimate. Arrived before expected and looks great.,
FAST! You relieved a lot of worry,"The cube puzzles arrived and are FANTASTIC!! Thank you for the fast service on these!

I was so worried about getting them in time, especially with the holiday season. This super-fast delivery helped ease a lot of worry.",
Excellent product and quick turnaround,Excellent product and quick turnaround. Highly recommend,
Great customer service plus the product…,Great customer service plus the product came out great!,
Ellie Hoecker was terrific from start…,"Ellie Hoecker was terrific from start to finish She sent samples within 24 hours of me finding Flashbay online, responded to all my emails sometimes within minutes and guided me so I got delivered on time Thanks Ellie
Jeff Russell
Hockey Night In New Haven",
Great customer service and product!,"Date of experience: December 16, 2024",
Marcus was excellent,"Marcus was excellent. He was responsive and very professional.

The product was delivered as promised and in a timely fashion.",
Blown away by the service and the product!,"I can't recall a vendor I've ever worked with who was more responsive, knowledgeable about their offerings, accommodating to my specific needs, and eager to offer top-notch customer service. From the moment I filled out the inquiry on your website, to the prompt response and the mailing of an unbelievable sample pack, to the answering of questions regarding proofs, to the simple hand-off of our data and artwork, to the ahead-of-schedule delivery. It's just been astounding how much you care about your clients and the quality of both your product and your service.",
Would highly recommend this company.,Justin Bamberg was wonderful to work with. He responded to all my emails in a timely manner and assisted with any questions I had. The USBs that we order turned out great. Would definitely recommend this company.,
Excellent Customer Service,"Excellent Customer Service!

Olivia Gordet was extremely helpful and responsive and assured all our needs were met. Sent a follow up email asking how we liked our purchase and if we needed anything else. Really appreciate her help and look forward to doing more business with Flashbay. Thanks again Olivia!",
Stellar customer service,"I've worked with Rachel for a couple orders now. She has been on top of communication, very professional, and always following up on satisfaction with my order. I've ordered the shaker bottles - both I and my clients love them!",
Beatrice was so pleasant to work with,Beatrice was so pleasant to work with! I could easily email her or pick up the phone and call her with all my questions and she would always answer.,
Simple and smooth experience,"Flashbay was easy to work with. Great quality product, quick turnaround, and fantastic customer service.",
